x,y,z
10772.1624,100760.0438,396
10751.98883,100767.8289,393.021362
10754.91154,100766.4832,389.070945
10757.84446,100765.1328,385.129699
10760.78755,100763.7777,381.197658
10749.61719,100768.9534,392.500544
10749.66373,100768.8616,387.501604
10749.70997,100768.7715,382.502628
10749.7559,100768.6833,377.503618
10749.80153,100768.5969,372.504573
10749.84727,100768.5118,367.505507
10749.89562,100768.4249,362.506496
10749.94697,100768.3357,357.507555
10749.99474,100768.2552,353.101549
10741.57598,100777.477,396.399671
10736.97794,100779.4309,396.199012
10732.3799,100781.3848,395.998353
10727.78186,100783.3387,395.797694
10723.18382,100785.2926,395.597035
10718.85431,100787.1324,395.408094
10752.75342,100772.5585,396.413084
10757.38525,100770.6756,396.439264
10762.01708,100768.7927,396.465444
10766.64891,100766.9097,396.491623
10771.28074,100765.0268,396.517803
10740.60876,100782.909,396.373815
10735.95128,100784.727,396.321456
10731.29381,100786.545,396.269097
10726.63633,100788.363,396.216738
10721.97885,100790.1811,396.164379
10717.32138,100791.9991,396.11202
10714.06114,100793.2717,396.075369
10751.70667,100778.5992,395.356363
10756.37001,100776.7977,395.269101
10761.03335,100774.9961,395.181839
10765.69669,100773.1945,395.094577
10770.36003,100771.393,395.007315
10773.99744,100769.9877,394.93925
10785.30428,100905.735,379.444637
10780.74806,100907.7902,379.31458
10776.20006,100909.8646,379.203717
10771.66043,100911.9583,379.112052
10768.72851,100913.3233,379.063167
10794.30826,100905.7768,354.988987
10790.00019,100908.0813,353.926161
10785.69133,100910.3998,352.897467
10781.80772,100912.5011,351.999695
10803.33598,100902.0306,319.520313
10799.58012,100904.0297,316.894128
10797.11487,100905.351,315.186653
10815.39847,100896.4126,282.30815
10843.3553,100884.5805,276.472162
10841.39845,100885.5761,271.980017
10839.43024,100886.5784,267.494293
10837.45996,100887.5909,263.011795
10835.48805,100888.6138,258.532385
10833.51454,100889.6473,254.056083
10831.53943,100890.6911,249.582913
10830.0236,100891.5003,246.1516
10756.37293,100917.1919,419.532774
10753.60328,100918.4394,420.327954
10740.24267,100870.5639,397.607403
10745.09928,100869.6794,396.813147
10749.95085,100868.7782,396.006822
10754.7973,100867.8605,395.188442
10759.63853,100866.9263,394.358022
10764.47505,100865.9756,393.518796
10767.37723,100865.3974,393.019762
10740.24299,100870.5834,399.284909
10744.97653,100869.7366,400.654742
10749.70678,100868.8716,402.024594
10754.43367,100867.9885,403.394445
10758.60799,100867.1929,404.604968
10848.47923,100926.6566,235.632981
10846.90816,100927.4872,231.692145
10719.57572,100784.9608,398.64566
10724.11904,100783.0533,399.493989
10728.65726,100781.1367,400.349196
10733.19035,100779.2112,401.211277
10737.71761,100777.2758,402.082108
10742.23626,100775.3278,402.969322
10746.7459,100773.3669,403.873715
10751.24644,100771.3931,404.795267
10755.73778,100769.4065,405.733958
10760.21956,100767.4074,406.691599
10764.69059,100765.397,407.675603
10768.99335,100763.4472,408.65057
10718.5678,100785.4106,400.010495
10722.9345,100783.5588,401.59249
10727.28881,100781.6907,403.18938
10731.63064,100779.8063,404.801125
10735.95951,100777.905,406.4277
10740.27237,100775.9802,408.069206
10744.56835,100774.0307,409.725604
10748.84724,100772.0563,411.396821
10753.10887,100770.0573,413.082782
10757.35348,100768.0349,414.783706
10761.58491,100765.9997,416.502109
10765.80398,100763.9542,418.238544
10769.00171,100762.3929,419.570095
10719.46934,100781.2464,402.009451
10723.53003,100779.3107,404.278332
10727.5823,100777.3685,406.5567
10731.62612,100775.4198,408.844537
10735.66093,100773.4627,411.141013
10739.6853,100771.4917,413.44396
10743.6991,100769.5066,415.753229
10747.70229,100767.5074,418.06879
10751.6948,100765.4942,420.39061
10755.67497,100763.4668,422.721235
10759.63896,100761.4248,425.066617
10763.58653,100759.3682,427.426935
10718.46131,100781.953,403.485009
10722.23867,100780.37,406.448208
10726.01131,100778.7813,409.414297
10729.77921,100777.1866,412.383267
10733.54162,100775.5868,415.356418
10737.29615,100773.9841,418.337914
10741.04262,100772.3785,421.32805
10744.78098,100770.7702,424.32681
10748.51123,100769.1591,427.334176
10752.23437,100767.5447,430.348627
10755.95313,100765.9261,433.366162
10759.66765,100764.3031,436.386563
10715.71808,100783.1892,406.071445
10718.55068,100782.0419,410.028741
10721.39075,100780.8801,413.976414
10724.23826,100779.7037,417.914408
10727.09165,100778.5125,421.843678
10729.94476,100777.3053,425.768263
10732.79691,100776.082,429.688551
10735.64808,100774.8425,433.604498
10738.49823,100773.587,437.51606
10741.34628,100772.315,441.423807
10743.76135,100771.2198,444.743117
10713.04306,100784.4253,408.822366
10714.66672,100783.8163,413.512001
10716.31229,100783.1957,418.192491
10717.9797,100782.5637,422.863706
10719.65993,100781.9239,427.529262
10721.33519,100781.2832,432.196502
10723.00499,100780.6421,436.865618
10724.66933,100780.0003,441.536604
10726.3282,100779.3579,446.209454
10727.36059,100778.9568,449.123571
10708.76108,100786.1422,413.173676
10708.74307,100786.1705,418.17356
10708.73921,100786.1844,423.173536
10708.74745,100786.1868,428.173527
10708.75986,100786.189,433.173511
10708.77563,100786.1922,438.173485
10708.79477,100786.1963,443.173447
10708.81727,100786.2015,448.173394
10708.84248,100786.2075,453.173326
10708.85947,100786.2119,456.525281
10704.13871,100786.5503,418.822146
10702.76207,100787.0907,423.666316
10701.38448,100787.636,428.509674
10700.00687,100788.1859,433.352511
10698.62924,100788.7402,438.194826
10697.25159,100789.2992,443.036614
