BHID,AT,DIP,BRG,Random Numeric
WP012,325.200012,59.5,343.25,0.036590886
WP012,349.200012,59,344,0.712135434
WP012,360,59,343.799988,0.085508855
WP012,370.700012,59,343.600006,0.125002267
WP012,380.5,59,345.5,0.180402227
WP012,410.5,59,347,0.368611489
WP012,441.5,60,348.5,0.520071042
WP012,471.5,60,348.5,0.919527841
WP012,501.5,60,348.5,0.961118816
WP012,540.5,60,348.5,0.543276712
WP012,570.5,60,348.5,0.868644671
WP012,585.5,60,347,0.195658752
WP012,600.5,60,345.5,0.826422569
WP012,602.299988,60,345.5,0.027995141
WP013,0,45,270,0.940374685
WP013,45.799999,44,271.5,0.49594483
WP013,75.800003,46,271.5,0.17392181
WP013,137.199997,45,271.5,0.926628482
WP013,167.199997,43,271.5,0.545990062
WP013,197.199997,43,272.5,0.706795272
WP013,200,43,272.5,0.005696454
WP014,0,45,270,0.671122332
WP014,46.200001,46,271.5,0.602112028
WP014,76.199997,46,271.5,0.00020084
WP014,125.199997,44,272,0.875612619
WP014,147.600006,44,273.75,0.46867179
WP014,170,43,275.5,0.490854019
WP014,200,42,275.5,0.675985374
WP014,202,42,272.5,0.707559817
WP015,0,45,286.5,0.932911266
WP015,30,45,286.5,0.393936296
WP015,99,43,288.5,0.484765547
WP015,138,42,288.5,0.671971559
WP015,198,41,288.5,0.864412691
WP015,228,40,288.5,0.053199357
WP015,288,40,288.5,0.49921729
WP015,318,41,289.5,0.944906948
WP015,348,40,290.5,0.704313275
WP015,362.040009,40,289.170013,0.112384653
WP015,376.079987,40,287.829987,0.164462634
WP015,390.100006,40,286.5,0.655602736
WP015,420.100006,36,287.5,0.530069087
WP015,450.100006,36,289.5,0.414934267
WP015,574.849976,36,289.5,0.491862016
WP016,0,70,270,0.429940546
WP016,46.200001,70,271.5,0.625253966
WP016,76.199997,70,272.5,0.297108766
WP016,119.800003,70,272.5,0.962465196
WP016,164.800003,70,273.5,0.85708441
WP016,200.100006,70,273.5,0.231630401
WP017,0,80,270,0.273548199
WP017,31.200001,81,270.5,0.623487246
WP017,73.199997,81,270.5,0.824693347
WP017,168,81,271.5,0.677225809
WP017,198,81,272.5,0.35872203
WP017,200,81,272.5,0.523123792
WP018,0,80,270,0.536956308
WP018,16,80,265.5,0.734292622
WP018,41,80,268.5,0.318151143
WP018,71,80,270.5,0.524094658
WP018,101,80,271.5,0.886780287
WP018,131,80,271.5,0.948624259
WP018,161,80,272.5,0.603362014
WP018,191,80,273.5,0.66357852
WP018,221,80,274.5,0.540952854
WP018,251,81,275.5,0.680599507
WP018,267.5,81,278,0.400064083
WP018,284,81,280.5,0.326220603
WP018,314,81,281.5,0.547187265
WP018,344,80,282.5,0.328466105
WP018,374,80,283.5,0.747813198
WP018,376,80,283.5,0.462327742
WP019,0,70,280,0.373686996
WP019,78.099998,70,282.5,0.765048676
WP019,108.099998,69,282.5,0.459780612
WP019,138.100006,69,282.5,0.358741848
WP019,168.100006,69,282.5,0.684788646
WP019,198.100006,69,282.5,0.5200262
WP019,200.100006,69,282.5,0.831587191
WP020,0,80,270,0.623265103
WP020,20.200001,80,268.5,0.693100489
WP020,80.199997,80,267.5,0.25040802
WP020,100.239998,80,265.5,0.199049671
