X,Y,Z,Hole ID,CU_pct,AU_gpt,DENSITY
445178.953388,494110.118747,3033.960579,WP002,0.38,2.08,3.24
445177.539659,494110.155767,3032.546365,WP002,0.88,1.5,3.15
445176.125930,494110.192787,3031.132151,WP002,0.44,0.66,3.15
445174.712201,494110.229807,3029.717938,WP002,0.56,2.5,3.16
445173.298472,494110.266827,3028.303724,WP002,0.67,2.13,3.2
445171.884743,494110.303846,3026.889511,WP002,0.54,1.03,3.19
445170.471014,494110.340866,3025.475297,WP002,0.71,1.32,3.08
445169.057286,494110.377886,3024.061084,WP002,0.45,3.71,3
445167.643557,494110.414906,3022.646870,WP002,0.45,1.05,3.07
445166.229828,494110.451926,3021.232657,WP002,0.4,0.63,3.08
445164.816099,494110.488945,3019.818443,WP002,0.68,1.26,3.19
445163.402370,494110.525965,3018.404229,WP002,0.72,3.86,3.16
445161.988641,494110.562985,3016.990016,WP002,0.46,0.97,2.43
445160.574912,494110.600005,3015.575802,WP002,0.15,0.86,3.19
445159.161183,494110.637025,3014.161589,WP002,0.21,0.9,3.16
445157.747454,494110.674044,3012.747375,WP002,0.69,0.82,3.15
445156.333725,494110.711064,3011.333162,WP002,0.54,1.11,3.28
445154.919996,494110.748084,3009.918948,WP002,0.72,1.1,3.06
445153.506267,494110.785104,3008.504734,WP002,0.51,0.93,3.22
445152.092538,494110.822124,3007.090521,WP002,0.68,3.65,3.19
445150.678809,494110.859143,3005.676307,WP002,0.29,1.79,3.31
445149.265080,494110.896163,3004.262094,WP002,0.69,1.05,3.16
445147.851351,494110.933183,3002.847880,WP002,0.57,1.22,3.22
445146.437622,494110.970203,3001.433667,WP002,0.57,1.48,3.14
445145.023893,494111.007223,3000.019453,WP002,0.34,0.64,3.23
445143.610164,494111.044242,2998.605240,WP002,0.27,0.42,3.23
445142.196436,494111.081262,2997.191026,WP002,0.38,0.6,3.14
445140.782707,494111.118282,2995.776812,WP002,0.49,1.49,3.16
445139.368978,494111.155302,2994.362599,WP002,0.47,2.71,3.14
445137.955249,494111.192322,2992.948385,WP002,0.23,2.35,3.15
445136.541520,494111.229341,2991.534172,WP002,0.68,2.69,3.16
445135.127791,494111.266361,2990.119958,WP002,0.51,2.31,3.19
445133.714062,494111.303381,2988.705745,WP002,0.61,1.83,3.17
445132.300333,494111.340401,2987.291531,WP002,0.53,3.52,3.17
445130.886604,494111.377420,2985.877317,WP002,0.75,4.99,3.21
445129.472875,494111.414440,2984.463104,WP002,0.67,3.95,3.19
445128.059146,494111.451460,2983.048890,WP002,0.62,1.99,3.17
445126.645417,494111.488480,2981.634677,WP002,0.59,1.92,3.21
445125.231688,494111.525500,2980.220463,WP002,0.42,0.73,3.17
445123.817959,494111.562519,2978.806250,WP002,0.43,2.54,3.19
445122.404230,494111.599539,2977.392036,WP002,0.86,1.16,3.17
445120.990501,494111.636559,2975.977823,WP002,0.41,2.19,3.15
445119.576772,494111.673579,2974.563609,WP002,0.62,1.11,3.21
445118.163043,494111.710599,2973.149395,WP002,0.53,2.33,3.19
445116.749315,494111.747618,2971.735182,WP002,0.64,1.97,3.21
445115.335586,494111.784638,2970.320968,WP002,0.44,0.81,3.19
445113.921857,494111.821658,2968.906755,WP002,0.46,1.22,3.19
445112.508128,494111.858678,2967.492541,WP002,0.5,0.68,3.2
445111.094399,494111.895698,2966.078328,WP002,0.52,0.5,3.17
445109.680670,494111.932717,2964.664114,WP002,0.6,1.36,3.16
445108.266941,494111.969737,2963.249900,WP002,0.51,0.59,3.15
445106.853212,494112.006757,2961.835687,WP002,0.92,1.09,3.16
445105.439483,494112.043777,2960.421473,WP002,0.39,1.97,3.15
445104.025754,494112.080797,2959.007260,WP002,0.34,0.89,3.17
445102.612025,494112.117816,2957.593046,WP002,0.36,1.03,3.16
445101.198296,494112.154836,2956.178833,WP002,0.29,0.88,3.2
445099.784567,494112.191856,2954.764619,WP002,0.45,1.17,3.16
445098.370838,494112.228876,2953.350406,WP002,0.3,1.85,3.15
445096.957109,494112.265896,2951.936192,WP002,0.52,1.1,3.16
445095.543380,494112.302915,2950.521978,WP002,0.4,2.18,3.17
445094.129651,494112.339935,2949.107765,WP002,0.35,0.93,3.16
445092.715922,494112.376955,2947.693551,WP002,0.38,2.13,3.17
445091.302193,494112.413975,2946.279338,WP002,0.53,0.84,3.28
445089.888465,494112.450995,2944.865124,WP002,0.63,0.87,3.17
